Trento - Lietkabelis Panevezys,Trento - Panevezys
Jeunesse Laique de Bourg-en-Bresse - ASP Promitheas,Bourg - Promitheas
Hamburg - Andorra,Hamburg - Andorra
Turk Telekom - Śląsk Wrocław,Turk Telekom - Wrocław
Strasbourg IG - Orleans Loiret Basket,Strasbourg - Orleans
Jiangsu Dragons - Sichuan Blue Whales,Jiangsu - Sichuan
Guangzhou Loong Lions - Xinjiang Flying Tigers,Guangzhou - Xinjiang
Beijing Ducks - Shenzhen Aviators,Beijing Ducks - Shenzhen
Shanxi Loongs - Jilin Northeast Tigers,Shanxi - Jilin
Rincon D. - Giustino L.,Rincon D. - Giustino L.
Kuznetsov An. - Lestienne C.,Kuznetsov An. - Lestienne C.
Marterer M. - Żuk K.,Marterer M. - Żuk K.
Paul J / Reymond A - Celikbilek A / Kirkin E,Paul J / Reymond A - Celikbilek A / Kirkin E
Borges/Cabral - Camara J C / Garcia M,Borges N / Cabral F - Camara J C / Garcia M
Svrcina D. - Lopez F.,Svrcina D. - Lopez F.
Blancaneaux G. - Furness E.,Blancaneaux G. - Furness E.
Peniston R. - De Loore J.,Peniston R. - De Loore J.
Fabbiano T. - Guinard M.,Fabbiano T. - Guinard M.
Moeller M. - Basic M.,Moeller M. - Basic M.
Vavassori A. - Bachinger M.,Vavassori A. - Bachinger M.
Moeller M / Mujakic A - Bemelmans/Masur,Moeller M / Mujakic A - Bemelmans R /  Masur D
Kolar/Lehecka - Baldi F / Nardi L,Kolar Z / Lehecka J - Baldi F / Nardi L
Verdasco F. - Moroni G. M.,Verdasco F. - Moroni G M
Gomez E. - Geerts M.,Gomez E. - Geerts M.
Huesler M-a / Pel D - Erler/Miedler,Huesler M-a / Pel D - Erler A / Miedler L
Rehberg M. H. - Moraing M.,Rehberg M H - Moraing M.
Donskoy E / Kukushkin M - Eysseric J / Olivetti A,Donskoy E / Kukushkin M - Eysseric J / Olivetti A
Machac T. - Draper J.,Machac T. - Draper J.
Cerretani J / Smits G - Arneodo R / Stakhovsky S,Cerretani J / Smits G - Arneodo R / Stakhovsky S
Gille/Vliegen - Bolelli/Gonzalez,Gille S / Vliegen J - Bolelli S / Gonzalez M
Bonzi B / Rinderknech A - Qureshi/Tsitsipas,Bonzi B / Rinderknech A - Qureshi A-u-h / Tsitsipas S
Djokovic N. - Fucsovics M.,Djokovic N. - Fucsovics M.
Tiafoe F. - Giron M.,Tiafoe F. - Giron M.
Harris L. - De Minaur A.,Harris L G M - De Minaur A.
Kecmanovic M. - Monfils G.,Kecmanovic M. - Monfils G.
Cilic M. - Davidovich Fokina A.,Cilic M. - Davidovich Fokina A.
Sonego L. - Fritz T.,Sonego L. - Fritz T.
Millman J. - Schwartzman D. S.,Millman J. - Schwartzman D S
Dimitrov G. - Gasquet R.,Dimitrov G. - Gasquet R.
Krajinovic F. - Opelka R.,Krajinovic F. - Opelka R.
Khachanov K. - Ymer M.,Khachanov K. - Ymer M.
Herbert P. H. - Alcaraz Garfia C.,Herbert P-H - Alcaraz Garfia C.
Paul T. - Struff J. L.,Paul T. - Struff J.L.
Duckworth J. - Bautista Agut R.,Duckworth J. - Bautista Agut R.
Auger Aliassime F. - Mager G.,Auger Aliassime F. - Mager G.
Murray A. - Brooksby J.,Murray A. - Koepfer D.
Radom K - Police K,Radom - Police
Polit. Lublin - Olsztyn,Lublin - Olsztyn
Daejeon Bluefangs - Seoul Wibee,Samsung Bluefangs - Seoul Woori
FK Senica - FC ViOn Zlaté Moravce,Senica - Zlate Moravce
FK Pohronie - MŠK Žilina,Pohronie - Zilina
DAC Dunajská Streda - ŠKF Sered,Dunajska Streda - Sered
AS Trencín - MFK Zemplín Michalovce,Trencin - Michalovce
CD Fas - Alianza FC,CD FAS - Alianza FC
Atletico Marte - CD Municipal Limeno,Atl. Marte - Mun. Limeno
Sp. Lizbona - Besiktas,Sp. Lizbona - Besiktas
Sh. Tiraspol - Inter,Sh. Tiraspol - Inter
Lipsk - PSG,RB Lipsk - PSG
Man. City - Club Brugge,Man. City - Club Brugge
Liverpool - Atletico Madrid,Liverpool - Atl. Madryt
Borussia Dortmund - Ajax,Dortmund - Ajax
Real Madryt - Sz. Donieck,Real Madryt - Sz. Donieck
Milan - FC Porto,Milan - FC Porto
CF Villarreal - BSC Young Boys,Villarreal - Young Boys
FC Sevilla - Lille,Sevilla - Lille
Juventus - Zenit St. Petersburg,Juventus - St. Petersburg
FC Dynamo Kijów - FC Barcelona,Dyn. Kijów - Barcelona
Bayern - Benfica,Bayern - Benfica
Atalanta - Manchester United,Atalanta - Man. Utd
